dt,csc
10,78
10,94
7,92
7,70
19,110
14,89
3,115
7,120
10,80
5,113
5,94
4,90
2,106
9,78
9,88
3,94
8,96
0,83
5,117
15,119
0,112
6,102
13,95
7,103
2,64
15,66
6,92
12,88
0,74
13,108
8,126
5,110
9,104
2,92
8,71
0,110
7,86
12,61
4,61
6,109
4,67
10,108
2,100
3,74
9,87
10,129
3,90
8,129
5,74
5,88
2,132
4,116
8,102
6,108
24,64
2,98
14,100
1,95
4,66
13,77
7,88
13,62
9,80
9,97
5,94
22,102
1,103
7,91
9,80
6,75
3,124
7,109
4,72
9,84
7,110
8,53
6,116
10,74
6,73
12,86
9,74
9,120
8,84
7,130
13,103
7,76
5,61
22,81
15,85
24,67
15,85
1,99
3,83
6,77
7,106
14,131
4,81
10,55
2,107
16,105
3,93
12,110
5,82
4,65
7,67
5,85
15,110
7,84
14,118
4,97
12,99
6,68
3,125
3,104
8,95
8,99
2,100
8,130
5,136
11,85
3,90
3,83
9,106
6,72
4,106
9,100
6,100
13,68
6,79
18,72
10,98
4,76
15,79
9,57
2,133
4,116
8,91
11,79
11,115
8,106
9,71
11,63
12,82
9,100
2,99
9,49
7,87
28,100
2,87
2,106
13,79
7,111
10,90
7,89
4,114
9,100
12,78
10,110
6,82
9,93
7,129
7,101
4,63
6,92
1,103
7,101
6,130
13,65
13,67
9,92
1,97
10,80
13,99
8,65
3,85
1,74
12,100
7,84
7,68
2,78
14,102
3,90
6,67
9,95
15,65
11,80
5,69
4,75
4,95
12,98
10,102
2,54
7,84
4,75
4,88
10,85
3,105
15,93
18,78
6,84
4,94
9,118
